day,views,estimated_minutes_watched,average_view_duration,average_view_percentage,subscribers_gained,subscribers_lost,net_subscribers,likes,comments,shares
2026-04-27,749,2210,177,43.14,9,2,7,37,4,5
2026-04-28,941,2854,182,49.18,11,3,8,46,5,4
2026-04-29,898,3203,214,38.47,10,2,8,39,5,4
2026-04-30,917,2338,153,39.25,8,1,7,44,3,7
2026-05-01,763,2327,183,44.15,8,2,6,27,4,4
2026-05-02,1112,3503,189,45.09,11,2,9,51,6,4
2026-05-03,944,3493,222,51.22,10,3,7,45,5,7
2026-05-04,768,2560,200,51.52,9,2,7,30,3,5
2026-05-05,974,3799,234,47.93,10,3,7,32,6,5
2026-05-06,816,2230,164,50.87,7,2,5,31,3,4
2026-05-07,839,3034,217,43.46,11,2,9,29,4,6
2026-05-08,925,3592,233,40.46,9,2,7,32,5,4
2026-05-09,1256,4061,194,44.33,15,3,12,44,6,9
2026-05-10,1258,5032,240,46.65,11,3,8,43,6,6
2026-05-11,1022,4088,240,41.68,11,2,9,46,6,6
2026-05-12,1057,3981,226,50.15,10,1,9,50,5,5
2026-05-13,845,2127,151,41.69,9,2,7,35,5,5
2026-05-14,954,2767,174,42.07,10,1,9,47,3,7
2026-05-15,1087,4294,237,44.71,13,2,11,54,4,6
2026-05-16,1187,3086,156,44.36,15,3,12,46,6,8
2026-05-17,1455,5578,230,39.52,20,4,16,63,8,7
2026-05-18,903,2619,174,45.22,13,2,11,35,5,4
2026-05-19,1169,3000,154,46,16,4,12,57,6,8
2026-05-20,1125,4350,232,41.7,12,3,9,45,4,9
2026-05-21,898,3368,225,41.03,10,2,8,42,5,6
2026-05-22,1087,3678,203,51.16,13,3,10,41,5,6
2026-05-23,1489,4120,166,46.36,12,4,8,72,8,11
2026-05-24,1357,4840,214,46.63,15,2,13,63,6,9
2026-05-25,1169,3468,178,48.65,12,3,9,37,6,8
2026-05-26,1255,4309,206,44.48,12,2,10,39,5,9
2026-05-27,1178,3868,197,42.26,12,3,9,39,4,9
2026-05-28,957,2536,159,43.33,8,2,6,29,3,7
2026-05-29,1183,4417,224,39.92,15,4,11,36,5,5
2026-05-30,1304,3890,179,40.32,16,5,11,45,5,9
2026-05-31,1583,6306,239,42.68,18,5,13,48,6,10
2026-06-01,1120,2987,160,48.01,10,2,8,45,7,7
2026-06-02,1096,3379,185,51.49,13,2,11,45,5,8
2026-06-03,1024,3379,198,45.41,9,2,7,37,5,6
2026-06-04,1265,3184,151,50.8,15,2,13,48,4,9
2026-06-05,1221,4314,212,44.95,14,3,11,46,5,7
2026-06-06,1690,4253,151,50.01,19,4,15,77,10,8
2026-06-07,1530,4055,159,39.33,17,4,13,66,8,12
2026-06-08,1225,4104,201,43.44,10,2,8,37,6,10
2026-06-09,1318,3625,165,38.35,17,4,13,65,6,10
2026-06-10,1244,3732,180,45.99,12,3,9,53,4,5
2026-06-11,1277,3341,157,47.46,13,3,10,50,7,10
2026-06-12,1318,4767,217,40.59,14,3,11,52,5,5
2026-06-13,1789,5665,190,51.86,23,5,18,57,7,13
2026-06-14,1513,5371,213,44.58,14,2,12,54,5,11
2026-06-15,1215,4455,220,40.33,10,3,7,58,7,9
2026-06-16,1339,3437,154,47.92,15,4,11,48,8,7
2026-06-17,1142,4054,213,45.86,16,4,12,38,4,7
2026-06-18,1189,3963,200,47.22,10,1,9,38,7,6
2026-06-19,1312,3892,178,49.49,12,3,9,61,7,9
2026-06-20,1620,4860,180,44.39,16,2,14,55,6,13
2026-06-21,1680,5040,180,51.07,23,5,18,55,6,10
2026-06-22,1223,4321,212,49.8,11,3,8,45,5,5
2026-06-23,1230,4572,223,46.92,16,2,14,49,4,8
2026-06-24,1321,4557,207,46.7,13,3,10,55,6,11
2026-06-25,1228,4175,204,45.32,11,3,8,46,7,10
2026-06-26,1242,4575,221,43.92,13,2,11,48,7,5
2026-06-27,1613,5108,190,49.63,19,4,15,80,7,8
2026-06-28,5047,18926,225,42.01,55,14,41,195,30,21
2026-06-29,3552,10005,169,42.59,45,12,33,138,21,19
2026-06-30,4238,15539,220,41.8,41,10,31,195,25,26
2026-07-01,3557,13517,228,45.32,39,10,29,113,15,17
2026-07-02,4293,15240,213,45.13,44,10,34,202,15,28
2026-07-03,1449,5603,232,45.28,19,5,14,57,6,10
2026-07-04,1784,4490,151,43.52,22,6,16,85,6,12
2026-07-05,2116,7406,210,47.31,26,7,19,89,8,11
2026-07-06,1507,3868,154,49.84,16,5,11,55,6,10
2026-07-07,1455,5165,213,38.74,16,4,12,57,6,6
