video_id,title,published_at,duration_seconds,url,views,estimated_minutes_watched,average_view_duration,average_view_percentage,likes,comments,shares,subscribers_gained
smpl000vid,【保存版】Evidence.devでYouTube分析を自動化する方法,2026-07-17,864,#,30203,83562,166,47.65,1605,104,176,331
smpl005vid,【実演】1時間でレポートを組み立てる,2026-06-02,816,#,21926,77472,212,57.76,1140,85,178,229
smpl001vid,毎朝5分でできるデータ整理のルーティン,2026-07-08,1075,#,7083,24436,207,40.66,249,39,45,101
smpl002vid,初心者がつまずくSQLの落とし穴7選,2026-06-29,604,#,4368,13759,189,54.24,236,15,34,55
smpl003vid,ノーコードでダッシュボードを作ってみた,2026-06-20,1024,#,3138,10826,207,42.7,105,20,23,52
smpl004vid,せどりの仕入れ判断をデータでやる話,2026-06-11,608,#,2296,8304,217,48.88,84,7,18,20
smpl006vid,ブログのアクセス解析、結局どこを見る？,2026-05-24,399,#,2088,8213,236,57.93,64,7,9,21
smpl007vid,DuckDBが便利すぎたので紹介します,2026-05-15,677,#,2027,8378,248,52.35,69,13,10,36
smpl008vid,売上管理シートを卒業した日,2026-05-06,1115,#,2026,7834,232,38.3,100,9,15,17
smpl010vid,グラフの色選びで伝わり方が変わる,2026-04-18,548,#,1615,6729,250,52.79,63,11,9,29
smpl009vid,YouTubeアナリティクスの見方をやさしく解説,2026-04-27,286,#,1431,5295,222,37.28,54,7,13,24
smpl012vid,自動レポートで浮いた時間の使い道,2026-03-31,700,#,1230,5064,247,42.39,47,4,8,15
smpl016vid,ダッシュボードは作って終わりじゃない,2026-02-23,306,#,1065,3941,222,53.16,48,7,7,18
smpl011vid,データ分析、まず何から始める？,2026-04-09,834,#,1025,4818,282,51.68,45,5,6,17
smpl014vid,【雑談】分析ツール遍歴をふりかえる,2026-03-13,464,#,948,4582,290,46.33,44,6,4,11
smpl017vid,週次ふりかえりのテンプレート公開,2026-02-14,1022,#,944,2627,167,40.78,50,4,8,15
smpl013vid,視聴維持率を上げるためにやったこと,2026-03-22,251,#,904,3360,223,49.53,43,6,4,9
smpl019vid,はじめてのデータパイプライン,2026-01-27,578,#,845,3141,223,34.93,43,5,4,13
smpl015vid,CSVとにらめっこしていた頃の話,2026-03-04,1065,#,839,2741,196,53.23,42,5,5,12
smpl018vid,指標を絞ると意思決定が速くなる,2026-02-05,968,#,663,2652,240,38.91,28,2,5,11
